"station_code","fullstationname","datetimestamp","monitoringprogram","rep","WTEM_N","F_WTEM_N","SALT_N","F_SALT_N","DO_N_","F_DO_N_","DO_N","F_DO_N","PH_N","F_PH_N","SECCHI","F_SECCHI","TDEP_N","F_TDEP_N"
"gtmpinut","gtmpinut1.2","2025-05-28 13:32:00","1","2","29.02",NA,"35.22",NA,"4.49",NA,NA,NA,"7.41",NA,"0.75",NA,"12.9",NA
"gtmssnut","gtmssnut1.1","2025-05-28 12:19:00","1","1","27.48","YSI Handheld did not reach bottom of water column","36.47","YSI Handheld did not reach bottom of water column","6.19","YSI Handheld did not reach bottom of water column",NA,NA,"7.88","YSI Handheld did not reach bottom of water column","0.7",NA,"26.1",NA
"gtmssnut","gtmssnut1.2","2025-05-28 12:21:00","1","2","27.48",NA,"36.47",NA,"6.19",NA,NA,NA,"7.88",NA,"0.7",NA,"26.1",NA
"gtmfmnut","gtmfmnut1.1","2025-05-28 11:21:00","1","1","26.94",NA,"36.479999999999997",NA,"5.89",NA,NA,NA,"7.88",NA,"1.2",NA,"11.8",NA
"gtmfmnut","gtmfmnut1.2","2025-05-28 11:23:00","1","2","26.94",NA,"36.479999999999997",NA,"5.89",NA,NA,NA,"7.88",NA,"1.2",NA,"11.8",NA
"gtmpcnut","gtmpcnut1.1","2025-05-28 14:07:00","1","1","30.1",NA,"26",NA,"6.13",NA,NA,NA,"7.55",NA,"0.5",NA,"2.2999999999999998",NA
"gtmpcnut","gtmpcnut1.2","2025-05-28 14:08:00","1","2","30.1",NA,"26",NA,"6.13",NA,NA,NA,"7.55",NA,"0.5",NA,"2.2999999999999998",NA
"gtmpcnut","gtmpcnut2.1","2025-05-14 09:30:00","2","1","26.015999999999998",NA,"11.23",NA,NA,NA,"4.3600000000000003",NA,"7.22",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.2","2025-05-14 12:00:00","2","2","27.068999999999999",NA,"16.37",NA,NA,NA,"5.83",NA,"7.47",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.3","2025-05-14 14:30:00","2","3","26.95",NA,"21.22",NA,NA,NA,"4.8600000000000003",NA,"7.46",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.4","2025-05-14 17:00:00","2","4","26.981000000000002",NA,"17.829999999999998",NA,NA,NA,"4.51",NA,"7.36",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.5","2025-05-14 19:30:00","2","5","27.734999999999999",NA,"13.15",NA,NA,NA,"4.8499999999999996",NA,"7.28",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.6","2025-05-14 22:00:00","2","6","28.350999999999999",NA,"11.87",NA,NA,NA,"6.68",NA,"7.55",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.7","2025-05-15 00:30:00","2","7","27.648",NA,"19.78",NA,NA,NA,"5.82",NA,"7.64",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.8","2025-05-15 03:00:00","2","8","27.375",NA,"21.84",NA,NA,NA,"5.51",NA,"7.67",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.9","2025-05-15 05:30:00","2","9","27.256",NA,"17.100000000000001",NA,NA,NA,"4.8",NA,"7.47",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.10","2025-05-15 08:00:00","2","10","26.911999999999999",NA,"14.54",NA,NA,NA,"4.34",NA,"7.33",NA,NA,NA,NA,NA
"gtmpcnut","gtmpcnut2.11","2025-05-15 10:30:00","2","11","26.715",NA,"11.05",NA,NA,NA,"5.29",NA,"7.34",NA,NA,NA,NA,NA
"gtmpinut","gtmpinut1.1","2025-06-10 12:44:00","1","1","28.97",NA,"32.049999999999997",NA,"5.12",NA,NA,NA,"7.46",NA,"0.55000000000000004",NA,"13.2",NA
"gtmpinut","gtmpinut1.2","2025-06-10 12:46:00","1","2","28.97",NA,"32.049999999999997",NA,"5.12",NA,NA,NA,"7.46",NA,"0.55000000000000004",NA,"13.2",NA
"gtmssnut","gtmssnut1.1","2025-06-10 11:06:00","1","1","27.94",NA,"35361",NA,"5.77",NA,NA,NA,"7.78",NA,"0.35",NA,"25.9",NA
"gtmssnut","gtmssnut1.2","2025-06-10 11:08:00","1","2","27.94",NA,"35.61",NA,"5.77",NA,NA,NA,"7.78",NA,"0.35",NA,"25.9",NA
"gtmfmnut","gtmfmnut1.1","2025-06-10 10:05:00","1","1","26.07",NA,"36.18",NA,"6.23",NA,NA,NA,"7.9",NA,"0.9",NA,"10.4",NA
"gtmfmnut","gtmfmnut1.2","2025-06-10 10:07:00","1","2","26.07",NA,"36.18",NA,"6.23",NA,NA,NA,"7.9",NA,"0.9",NA,"10.4",NA
"gtmpcnut","gtmpcnut1.1","2025-06-10 13:22:00","1","1","30.6",NA,"16.350000000000001",NA,"4.28",NA,NA,NA,"7.49",NA,"0.7",NA,"1.8",NA
"gtmpcnut","gtmpcnut1.2","2025-06-10 13:23:00","1","2","30.6",NA,"16.350000000000001",NA,"4.28",NA,NA,NA,"7.49",NA,"0.7",NA,"1.8",NA
"gtmpcnut","gtmpcnut2.1","2025-06-23 09:30:00","2","1","30.97",NA,"18.600000000000001",NA,NA,NA,"3.72",NA,"7.5",NA,NA,NA,NA,NA
