"station_code","fullstationname","datetimestamp","monitoringprogram","rep","F_Record","PO4F","F_PO4F","TP","F_TP","TDP","F_TDP","NH4F","F_NH4F","NO23F","F_NO23F","TKN","F_TKN","TKNF","F_TKNF","CHLA_N","F_CHLA_N","UncCHLa_N","F_UncCHLa_N","PHEA","F_PHEA","TSS","F_TSS","color","F_color","FECCOL_CFU","F_FECCOL_CFU","ENTERO_MPN","F_ENTERO_MPN","DOC","F_DOC","TOTALK","F_TOTALK","adjustedtimestamp"
"gtmpinnut","gtmpinnut1.2","2025-04-09 11:17:00","1","2","","0.024","","0.071","","0.037","","0.01","","0.004","U","0.44","","0.29","I","6.8","","8.5","","2.3","I","28","","6.4","","3","UQ","10.0","UQ","4.9","","","","2025-04-09 10:17:00"
"gtmssnut","gtmssnut1.1","2025-04-09 09:27:00","1","1","","0.011","","0.050","","0.018","","0.008","","0.005","I","0.18","I","0.16","U","7.7","","9.5","","2.5","I","29","","12","U","3","UQ","10.0","UQ","2.4","I","","","2025-04-09 08:27:00"
"gtmssnut","gtmssnut1.2","2025-04-09 09:29:00","1","2","","0.011","","0.050","","0.018","","0.011","","0.006","I","0.29","I","0.17","I","7.6","","9.1","","2.0","I","30","","12","U","6","BQ","10.0","UQ","2.5","I","","","2025-04-09 08:29:00"
"gtmpcnut","gtmpcnut2.1","2025-04-23 09:30:00","2","1","","0.033","Q","0.087","","0.051","","0.016","","0.005","I","0.63","","0.55","","8.3","Q","10","Q","2.3","IQ","15","","","","","","","","7.7","","","","2025-04-23 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-04-24 08:00:00","2","10","","0.030","","0.082","","","","0.006","","0.004","U","0.77","","","","9.2","","10","","2.1","U","16","","","","","","31.0","Q","8.0","","","","2025-04-24 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-04-24 10:30:00","2","11","","0.032","","0.082","","","","0.004","I","0.004","U","0.78","","","","11","","13","","2.1","I","12","A","","","","","10.0","Q","7.6","","","","2025-04-24 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-04-23 12:00:00","2","2","","0.034","Q","0.088","","","","0.016","","0.004","U","0.63","","","","11","","13","","3.1","","17","","","","","","","","8.3","","","","2025-04-23 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-04-23 14:30:00","2","3","","0.034","","0.088","","","","0.004","I","0.004","U","0.70","","","","12","","14","","2.5","I","14","","","","","","10.0","UQ","8.8","","","","2025-04-23 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-04-23 17:00:00","2","4","","0.031","","0.096","","","","0.004","I","0.004","U","0.69","","","","9.6","","11","","1.6","U","18","","","","","","10.0","Q","8.4","","","","2025-04-23 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-04-23 19:30:00","2","5","","0.027","","0.095","","","","0.004","I","0.004","U","0.80","","","","9.0","","10","","1.8","I","22","","","","","","20.0","Q","8.7","","","","2025-04-23 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-04-23 22:00:00","2","6","","0.029","","0.090","","","","0.004","I","0.004","U","0.72","","","","8.6","","10","","1.8","I","22","","","","","","10.0","UQ","8.0","","","","2025-04-23 21:00:00"
"gtmpcnut","gtmpcnut2.7","","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","UQ","","","","",""
"gtmpcnut","gtmpcnut2.7","2025-04-24 00:30:00","2","7","","0.030","","0.089","","","","0.005","I","0.004","U","0.74","","","","8.8","","11","","2.6","I","15","","","","","","","","8.8","","","","2025-04-23 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-04-24 03:00:00","2","8","","0.032","","0.075","","","","0.004","I","0.004","U","0.69","","","","8.9","","11","","2.3","I","9","I","","","","","10.0","Q","8.6","","","","2025-04-24 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-04-24 05:30:00","2","9","","0.031","","0.077","","","","0.007","","0.004","U","0.80","","","","8.1","","9.8","","2.3","","8","I","","","","","30.0","Q","8.4","","","","2025-04-24 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-05-28 11:21:00","1","1","","0.006","I","0.027","","0.018","","0.016","","0.004","U","0.35","I","0.28","I","3.8","A","3.8","A","1.1","U","8","IA","12","U","6","BQ","10.0","Q","2.5","I","","","2025-05-28 10:21:00"
"gtmfmnut","gtmfmnut1.2","2025-05-28 11:23:00","1","2","","0.007","I","0.025","","0.018","","0.016","","0.004","I","0.47","","0.32","I","3.4","","3.6","","0.63","U","7","I","7.5","U","6","BQ","10.0","UQ","2.4","I","","","2025-05-28 10:23:00"
"gtmpcnut","gtmpcnut1.1","2025-05-28 14:07:00","1","1","","0.044","","0.093","","0.061","","0.005","","0.004","U","0.60","","0.37","I","15","","16","","1.6","U","24","","35","","11","BQ","10.0","Q","8.0","","","","2025-05-28 13:07:00"
"gtmpcnut","gtmpcnut1.2","2025-05-28 14:08:00","1","2","","0.045","","0.093","","0.061","","0.006","","0.004","U","0.61","","0.45","","13","","14","","1.6","U","26","","36","","14","BQ","10.0","Q","7.9","","","","2025-05-28 13:08:00"
"gtmpinut","gtmpinut1.1","2025-05-28 13:30:00","1","1","","0.020","","0.066","","0.039","","0.01","","0.004","U","0.56","","0.49","","15","","16","","2.1","U","35","","8.4","","3","UQ","10.0","UQ","6.1","","","","2025-05-28 12:30:00"
"gtmpinut","gtmpinut1.2","2025-05-28 13:32:00","1","2","","0.022","","0.076","","0.038","","0.009","","0.004","U","0.50","","0.48","","15","","17","","3.7","","37","","10","","3","UQ","10.0","UQ","5.7","","","","2025-05-28 12:32:00"
"gtmssnut","gtmssnut1.1","2025-05-28 12:19:00","1","1","","0.014","","0.047","","0.023","","0.018","","0.011","","0.48","","0.33","I","6.6","","8.0","","1.8","I","23","","7.5","U","3","UQ","10.0","UQ","2.8","I","","","2025-05-28 11:19:00"
"gtmssnut","gtmssnut1.2","2025-05-28 12:21:00","1","2","","0.012","","0.044","","0.023","","0.016","","0.01","I","0.41","","0.30","I","6.3","","7.4","","1.5","I","22","","12","U","3","BQ","10.0","UQ","2.6","I","","","2025-05-28 11:21:00"
"gtmpcnut","gtmpcnut2.1","2025-05-14 09:30:00","2","1","","0.046","Q","0.091","","0.062","","0.012","","0.004","U","0.54","","0.36","I","8.0","","10","","3.3","","8","IA","","","","","","","8.5","","","","2025-05-14 08:30:00"
"gtmpcnut","gtmpcnut2.10","2025-05-15 08:00:00","2","10","","0.042","","0.096","","","","0.01","","0.004","U","0.50","","","","8.0","","9.5","","2.0","I","12","","","","","","10.0","Q","4.4","","","","2025-05-15 07:00:00"
"gtmpcnut","gtmpcnut2.11","2025-05-15 10:30:00","2","11","","0.042","","0.096","","","","0.004","I","0.011","","0.58","","","","11","","13","","3.1","I","11","","","","","","10.0","UQ","8.7","","","","2025-05-15 09:30:00"
"gtmpcnut","gtmpcnut2.2","2025-05-14 12:00:00","2","2","","0.033","Q","0.092","","","","0.003","I","0.004","U","0.64","","","","19","","22","","3.8","I","15","","","","","","","","8.2","","","","2025-05-14 11:00:00"
"gtmpcnut","gtmpcnut2.3","2025-05-14 14:30:00","2","3","","0.032","Q","0.088","","","","0.004","I","0.004","U","0.64","","","","12","","14","","2.5","I","19","","","","","","20.0","Q","8.9","","","","2025-05-14 13:30:00"
"gtmpcnut","gtmpcnut2.4","2025-05-14 17:00:00","2","4","","0.033","","0.090","","","","0.003","I","0.004","U","0.64","","","","11","","12","","2.0","I","19","","","","","","10.0","Q","8.5","","","","2025-05-14 16:00:00"
"gtmpcnut","gtmpcnut2.5","2025-05-14 19:30:00","2","5","","0.040","","0.097","","","","0.005","I","0.004","U","0.51","","","","8.0","","11","","3.8","I","20","","","","","","10.0","Q","9.3","","","","2025-05-14 18:30:00"
"gtmpcnut","gtmpcnut2.6","2025-05-14 22:00:00","2","6","","0.038","","0.099","","","","0.005","I","0.008","U","0.63","","","","7.4","","9.4","","2.8","I","32","","","","","","10.0","UQ","8.1","","","","2025-05-14 21:00:00"
"gtmpcnut","gtmpcnut2.7","2025-05-15 00:30:00","2","7","","0.032","","0.093","","","","0.005","I","0.004","U","0.66","","","","9.4","","11","","2.8","I","27","","","","","","10.0","UQ","7.6","","","","2025-05-14 23:30:00"
"gtmpcnut","gtmpcnut2.8","2025-05-15 03:00:00","2","8","","0.026","","0.088","","","","0.004","I","0.004","U","0.58","","","","8.9","","11","","2.7","I","22","","","","","","10.0","Q","8.9","","","","2025-05-15 02:00:00"
"gtmpcnut","gtmpcnut2.9","2025-05-15 05:30:00","2","9","","0.037","","0.085","","","","0.003","I","0.004","U","0.57","","","","8.2","","9.9","","2.3","I","15","","","","","","10.0","UQ","8.1","","","","2025-05-15 04:30:00"
"gtmfmnut","gtmfmnut1.1","2025-06-10 10:05:00","1","1","","0.014","","0.034","","0.021","","0.011","","0.004","U","0.37","I","0.31","I","3.9","A","4.4","A","1.1","U","8","I","5.0","U","8","BQ","10.0","UQ","2.7","I","","","2025-06-10 09:05:00"
"gtmfmnut","gtmfmnut1.2","2025-06-10 10:07:00","1","2","","0.016","","0.036","","0.023","","0.012","","0.004","U","0.37","I","0.33","I","3.9","","4.7","","0.99","I","8","I","2.5","U","8","BQ","10.0","UQ","2.6","I","","","2025-06-10 09:07:00"
"gtmpcnut","gtmpcnut1.1","2025-06-10 13:22:00","1","1","","0.061","","0.11","","0.071","","0.005","I","0.008","I","0.71","","0.25","I","18","","22","","5.5","","14","","47","","8","BQ","10.0","UQ","7.7","","","","2025-06-10 12:22:00"
"gtmpcnut","gtmpcnut1.2","2025-06-10 13:23:00","1","2","","0.060","","0.10","","0.071","","0.004","I","0.010","","0.70","","0.18","I","19","","22","","3.9","","12","","47","","14","BQ","10.0","Q","8.0","","","","2025-06-10 12:23:00"
"gtmpinut","gtmpinut1.1","2025-06-10 12:44:00","1","1","","0.030","","0.072","","0.041","","0.033","","0.005","I","0.74","","0.56","","11","","15","","5.0","","35","","20","","6","BQ","10.0","Q","7.4","","","","2025-06-10 11:44:00"
"gtmpinut","gtmpinut1.2","2025-06-10 12:46:00","1","2","","0.030","","0.066","","0.041","","0.031","","0.005","I","0.77","","0.52","","11","","14","","4.1","","33","","21","","3","BQ","10.0","Q","7.0","","","","2025-06-10 11:46:00"
