"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-02,"01:45","19.529","29.086","18.02","86.7","7.16","-0.114","7.57","5.4","2.09","8.39","75.16","25.16"
2025-12-02,"02:00","19.519","28.488","17.61","86","7.11","-0.127","7.55","5.14","2.26","9.08","76.35","25.56"
2025-12-02,"02:15","19.518","28.56","17.66","86","7.11","-0.138","7.55","5.06","2.22","8.91","76.8","25.71"
2025-12-02,"02:30","19.52","28.571","17.67","82","6.78","-0.147","7.54","4.9","2.19","8.8","74.72","25.01"
2025-12-02,"02:45","19.504","27.978","17.26","82.6","6.85","-0.154","7.53","4.59","2.25","9.03","75.83","25.38"
2025-12-02,"03:00","19.483","27.298","16.8","83","6.9","-0.149","7.51","5.15","2.13","8.55","78.33","26.22"
2025-12-02,"03:15","19.456","26.235","16.09","84.1","7.03","-0.131","7.5","4.57","2.16","8.69","80.46","26.93"
2025-12-02,"03:30","19.332","25.558","15.64","83.3","7","-0.112","7.47","4.5","1.95","7.85","81.81","27.38"
2025-12-02,"03:45","19.404","26.37","16.18","84.3","7.05","-0.091","7.5","4.75","2.01","8.09","80.72","27.02"
2025-12-02,"04:00","19.405","28.739","17.78","84.6","7.01","-0.067","7.53","4.92","1.93","7.76","77.3","25.87"
2025-12-02,"04:15","19.459","31.122","19.4","85.8","7.03","-0.039","7.58","5.62","1.83","7.34","73.17","24.49"
2025-12-02,"04:30","19.45","30.41","18.92","86.2","7.08","-0.005","7.58","5.15","1.78","7.16","74.44","24.92"
2025-12-02,"04:45","19.402","31.186","19.45","86.2","7.07","0.031","7.59","4.88","1.75","7.05","73.65","24.66"
2025-12-02,"05:00","19.466","32.251","20.18","86.5","7.05","0.069","7.61","5.43","1.6","6.43","70.96","23.75"
2025-12-02,"05:15","19.435","32.597","20.42","86.1","7.02","0.109","7.62","6.13","1.56","6.25","70.5","23.6"
2025-12-02,"05:30","19.405","32.619","20.43","86.1","7.02","0.151","7.62","5.24","1.6","6.44","70.44","23.58"
2025-12-02,"05:45","19.4","33.848","21.28","86.1","6.98","0.192","7.64","5.2","1.44","5.79","68.24","22.85"
2025-12-02,"06:00","19.408","36.087","22.84","83.8","6.74","0.227","7.64","6.18","1.35","5.43","63.95","21.41"
2025-12-02,"06:15","19.513","37.698","23.97","82","6.53","0.261","7.65","7.76","1.33","5.34","59.91","20.06"
2025-12-02,"06:30","19.556","38.732","24.7","83.2","6.59","0.29","7.69","7.59","1.24","4.98","57.25","19.17"
2025-12-02,"06:45","19.579","40.297","25.8","84.5","6.65","0.317","7.74","8.36","1.28","5.16","52.08","17.44"
2025-12-02,"07:00","19.588","41.162","26.42","85.8","6.73","0.341","7.77","9.3","1.23","4.96","49.39","16.54"
2025-12-02,"07:15","19.597","42.115","27.1","86.4","6.75","0.364","7.8","9.85","1.21","4.85","46.09","15.44"
2025-12-02,"07:30","19.614","43.235","27.9","86","6.68","0.385","7.82","10.74","1.09","4.36","42.64","14.29"
2025-12-02,"07:45","19.69","44.618","28.89","85.8","6.62","0.405","7.85","9.05","0.99","3.96","38.52","12.91"
2025-12-02,"08:00","19.722","45.178","29.3","86","6.61","0.424","7.86","7.24","0.97","3.89","37.01","12.4"
2025-12-02,"08:15","19.776","46.086","29.95","85.7","6.56","0.438","7.88","7.51","0.9","3.62","33.69","11.3"
2025-12-02,"08:30","19.827","46.609","30.33","85.5","6.52","0.449","7.88","6.59","0.84","3.37","31.82","10.67"
